GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC05_VC08,2014 - 2012 Statistical Significance; SEX AND AGE - Under 5 years
HC06_VC08,2011 Estimate; SEX AND AGE - Under 5 years
HC07_VC08,2014 - 2011 Statistical Significance; SEX AND AGE - Under 5 years
HC08_VC08,2010 Estimate; SEX AND AGE - Under 5 years
HC09_VC08,2014 - 2010 Statistical Significance; SEX AND AGE - Under 5 years
HC01_VC09,2014 Estimate; SEX AND AGE - 5 to 9 years
HC02_VC09,2013 Estimate; SEX AND AGE - 5 to 9 years
HC03_VC09,2014 - 2013 Statistical Significance; SEX AND AGE - 5 to 9 years
HC04_VC09,2012 Estimate; SEX AND AGE - 5 to 9 years
HC05_VC09,2014 - 2012 Statistical Significance; SEX AND AGE - 5 to 9 years
HC06_VC09,2011 Estimate; SEX AND AGE - 5 to 9 years
HC07_VC09,2014 - 2011 Statistical Significance; SEX AND AGE - 5 to 9 years
HC08_VC09,2010 Estimate; SEX AND AGE - 5 to 9 years
HC09_VC09,2014 - 2010 Statistical Significance; SEX AND AGE - 5 to 9 years
HC01_VC10,2014 Estimate; SEX AND AGE - 10 to 14 years
HC02_VC10,2013 Estimate; SEX AND AGE - 10 to 14 years
HC03_VC10,2014 - 2013 Statistical Significance; SEX AND AGE - 10 to 14 years
HC04_VC10,2012 Estimate; SEX AND AGE - 10 to 14 years
HC05_VC10,2014 - 2012 Statistical Significance; SEX AND AGE - 10 to 14 years
HC06_VC10,2011 Estimate; SEX AND AGE - 10 to 14 years
HC07_VC10,2014 - 2011 Statistical Significance; SEX AND AGE - 10 to 14 years
HC08_VC10,2010 Estimate; SEX AND AGE - 10 to 14 years
HC09_VC10,2014 - 2010 Statistical Significance; SEX AND AGE - 10 to 14 years
HC01_VC11,2014 Estimate; SEX AND AGE - 15 to 19 years
HC02_VC11,2013 Estimate; SEX AND AGE - 15 to 19 years
HC03_VC11,2014 - 2013 Statistical Significance; SEX AND AGE - 15 to 19 years
HC04_VC11,2012 Estimate; SEX AND AGE - 15 to 19 years
HC05_VC11,2014 - 2012 Statistical Significance; SEX AND AGE - 15 to 19 years
HC06_VC11,2011 Estimate; SEX AND AGE - 15 to 19 years
HC07_VC11,2014 - 2011 Statistical Significance; SEX AND AGE - 15 to 19 years
HC08_VC11,2010 Estimate; SEX AND AGE - 15 to 19 years
HC09_VC11,2014 - 2010 Statistical Significance; SEX AND AGE - 15 to 19 years
HC01_VC12,2014 Estimate; SEX AND AGE - 20 to 24 years
HC02_VC12,2013 Estimate; SEX AND AGE - 20 to 24 years
HC03_VC12,2014 - 2013 Statistical Significance; SEX AND AGE - 20 to 24 years
HC04_VC12,2012 Estimate; SEX AND AGE - 20 to 24 years
HC05_VC12,2014 - 2012 Statistical Significance; SEX AND AGE - 20 to 24 years
HC06_VC12,2011 Estimate; SEX AND AGE - 20 to 24 years
HC07_VC12,2014 - 2011 Statistical Significance; SEX AND AGE - 20 to 24 years
HC08_VC12,2010 Estimate; SEX AND AGE - 20 to 24 years
HC09_VC12,2014 - 2010 Statistical Significance; SEX AND AGE - 20 to 24 years
HC01_VC13,2014 Estimate; SEX AND AGE - 25 to 34 years
HC02_VC13,2013 Estimate; SEX AND AGE - 25 to 34 years
HC03_VC13,2014 - 2013 Statistical Significance; SEX AND AGE - 25 to 34 years
HC04_VC13,2012 Estimate; SEX AND AGE - 25 to 34 years
HC05_VC13,2014 - 2012 Statistical Significance; SEX AND AGE - 25 to 34 years
HC06_VC13,2011 Estimate; SEX AND AGE - 25 to 34 years
HC07_VC13,2014 - 2011 Statistical Significance; SEX AND AGE - 25 to 34 years
HC08_VC13,2010 Estimate; SEX AND AGE - 25 to 34 years
HC09_VC13,2014 - 2010 Statistical Significance; SEX AND AGE - 25 to 34 years
HC01_VC14,2014 Estimate; SEX AND AGE - 35 to 44 years
HC02_VC14,2013 Estimate; SEX AND AGE - 35 to 44 years
HC03_VC14,2014 - 2013 Statistical Significance; SEX AND AGE - 35 to 44 years
HC04_VC14,2012 Estimate; SEX AND AGE - 35 to 44 years
HC05_VC14,2014 - 2012 Statistical Significance; SEX AND AGE - 35 to 44 years
HC06_VC14,2011 Estimate; SEX AND AGE - 35 to 44 years
HC07_VC14,2014 - 2011 Statistical Significance; SEX AND AGE - 35 to 44 years
HC08_VC14,2010 Estimate; SEX AND AGE - 35 to 44 years
HC09_VC14,2014 - 2010 Statistical Significance; SEX AND AGE - 35 to 44 years
HC01_VC15,2014 Estimate; SEX AND AGE - 45 to 54 years
HC02_VC15,2013 Estimate; SEX AND AGE - 45 to 54 years
HC03_VC15,2014 - 2013 Statistical Significance; SEX AND AGE - 45 to 54 years
HC04_VC15,2012 Estimate; SEX AND AGE - 45 to 54 years
HC05_VC15,2014 - 2012 Statistical Significance; SEX AND AGE - 45 to 54 years
HC06_VC15,2011 Estimate; SEX AND AGE - 45 to 54 years
HC07_VC15,2014 - 2011 Statistical Significance; SEX AND AGE - 45 to 54 years
HC08_VC15,2010 Estimate; SEX AND AGE - 45 to 54 years
HC09_VC15,2014 - 2010 Statistical Significance; SEX AND AGE - 45 to 54 years
HC01_VC16,2014 Estimate; SEX AND AGE - 55 to 59 years
HC02_VC16,2013 Estimate; SEX AND AGE - 55 to 59 years
HC03_VC16,2014 - 2013 Statistical Significance; SEX AND AGE - 55 to 59 years
HC04_VC16,2012 Estimate; SEX AND AGE - 55 to 59 years
HC05_VC16,2014 - 2012 Statistical Significance; SEX AND AGE - 55 to 59 years
HC06_VC16,2011 Estimate; SEX AND AGE - 55 to 59 years
HC07_VC16,2014 - 2011 Statistical Significance; SEX AND AGE - 55 to 59 years
HC08_VC16,2010 Estimate; SEX AND AGE - 55 to 59 years
HC09_VC16,2014 - 2010 Statistical Significance; SEX AND AGE - 55 to 59 years
HC01_VC17,2014 Estimate; SEX AND AGE - 60 to 64 years
HC02_VC17,2013 Estimate; SEX AND AGE - 60 to 64 years
HC03_VC17,2014 - 2013 Statistical Significance; SEX AND AGE - 60 to 64 years
HC04_VC17,2012 Estimate; SEX AND AGE - 60 to 64 years
HC05_VC17,2014 - 2012 Statistical Significance; SEX AND AGE - 60 to 64 years
HC06_VC17,2011 Estimate; SEX AND AGE - 60 to 64 years
HC07_VC17,2014 - 2011 Statistical Significance; SEX AND AGE - 60 to 64 years
HC08_VC17,2010 Estimate; SEX AND AGE - 60 to 64 years
HC09_VC17,2014 - 2010 Statistical Significance; SEX AND AGE - 60 to 64 years
HC01_VC18,2014 Estimate; SEX AND AGE - 65 to 74 years
HC02_VC18,2013 Estimate; SEX AND AGE - 65 to 74 years
HC03_VC18,2014 - 2013 Statistical Significance; SEX AND AGE - 65 to 74 years
HC04_VC18,2012 Estimate; SEX AND AGE - 65 to 74 years
HC05_VC18,2014 - 2012 Statistical Significance; SEX AND AGE - 65 to 74 years
HC06_VC18,2011 Estimate; SEX AND AGE - 65 to 74 years
HC07_VC18,2014 - 2011 Statistical Significance; SEX AND AGE - 65 to 74 years
HC08_VC18,2010 Estimate; SEX AND AGE - 65 to 74 years
HC09_VC18,2014 - 2010 Statistical Significance; SEX AND AGE - 65 to 74 years
HC01_VC19,2014 Estimate; SEX AND AGE - 75 to 84 years
HC02_VC19,2013 Estimate; SEX AND AGE - 75 to 84 years
HC03_VC19,2014 - 2013 Statistical Significance; SEX AND AGE - 75 to 84 years
HC04_VC19,2012 Estimate; SEX AND AGE - 75 to 84 years
HC05_VC19,2014 - 2012 Statistical Significance; SEX AND AGE - 75 to 84 years
HC06_VC19,2011 Estimate; SEX AND AGE - 75 to 84 years
HC07_VC19,2014 - 2011 Statistical Significance; SEX AND AGE - 75 to 84 years
HC08_VC19,2010 Estimate; SEX AND AGE - 75 to 84 years
HC09_VC19,2014 - 2010 Statistical Significance; SEX AND AGE - 75 to 84 years
HC01_VC20,2014 Estimate; SEX AND AGE - 85 years and over
HC02_VC20,2013 Estimate; SEX AND AGE - 85 years and over
HC03_VC20,2014 - 2013 Statistical Significance; SEX AND AGE - 85 years and over
HC04_VC20,2012 Estimate; SEX AND AGE - 85 years and over
HC05_VC20,2014 - 2012 Statistical Significance; SEX AND AGE - 85 years and over
HC06_VC20,2011 Estimate; SEX AND AGE - 85 years and over
HC07_VC20,2014 - 2011 Statistical Significance; SEX AND AGE - 85 years and over
HC08_VC20,2010 Estimate; SEX AND AGE - 85 years and over
HC09_VC20,2014 - 2010 Statistical Significance; SEX AND AGE - 85 years and over
HC01_VC23,2014 Estimate; SEX AND AGE - Median age (years)
HC02_VC23,2013 Estimate; SEX AND AGE - Median age (years)
HC03_VC23,2014 - 2013 Statistical Significance; SEX AND AGE - Median age (years)
HC04_VC23,2012 Estimate; SEX AND AGE - Median age (years)
HC05_VC23,2014 - 2012 Statistical Significance; SEX AND AGE - Median age (years)
HC06_VC23,2011 Estimate; SEX AND AGE - Median age (years)
HC07_VC23,2014 - 2011 Statistical Significance; SEX AND AGE - Median age (years)
HC08_VC23,2010 Estimate; SEX AND AGE - Median age (years)
HC09_VC23,2014 - 2010 Statistical Significance; SEX AND AGE - Median age (years)
HC01_VC26,2014 Estimate; SEX AND AGE - 18 years and over
HC02_VC26,2013 Estimate; SEX AND AGE - 18 years and over
HC03_VC26,2014 - 2013 Statistical Significance; SEX AND AGE - 18 years and over
HC04_VC26,2012 Estimate; SEX AND AGE - 18 years and over
HC05_VC26,2014 - 2012 Statistical Significance; SEX AND AGE - 18 years and over
HC06_VC26,2011 Estimate; SEX AND AGE - 18 years and over
HC07_VC26,2014 - 2011 Statistical Significance; SEX AND AGE - 18 years and over
HC08_VC26,2010 Estimate; SEX AND AGE - 18 years and over
HC09_VC26,2014 - 2010 Statistical Significance; SEX AND AGE - 18 years and over
HC01_VC27,2014 Estimate; SEX AND AGE - 21 years and over
HC02_VC27,2013 Estimate; SEX AND AGE - 21 years and over
HC03_VC27,2014 - 2013 Statistical Significance; SEX AND AGE - 21 years and over
HC04_VC27,2012 Estimate; SEX AND AGE - 21 years and over
HC05_VC27,2014 - 2012 Statistical Significance; SEX AND AGE - 21 years and over
HC06_VC27,2011 Estimate; SEX AND AGE - 21 years and over
HC07_VC27,2014 - 2011 Statistical Significance; SEX AND AGE - 21 years and over
HC08_VC27,2010 Estimate; SEX AND AGE - 21 years and over
HC09_VC27,2014 - 2010 Statistical Significance; SEX AND AGE - 21 years and over
HC01_VC28,2014 Estimate; SEX AND AGE - 62 years and over
HC02_VC28,2013 Estimate; SEX AND AGE - 62 years and over
HC03_VC28,2014 - 2013 Statistical Significance; SEX AND AGE - 62 years and over
HC04_VC28,2012 Estimate; SEX AND AGE - 62 years and over
HC05_VC28,2014 - 2012 Statistical Significance; SEX AND AGE - 62 years and over
HC06_VC28,2011 Estimate; SEX AND AGE - 62 years and over
HC07_VC28,2014 - 2011 Statistical Significance; SEX AND AGE - 62 years and over
HC08_VC28,2010 Estimate; SEX AND AGE - 62 years and over
HC09_VC28,2014 - 2010 Statistical Significance; SEX AND AGE - 62 years and over
HC01_VC29,2014 Estimate; SEX AND AGE - 65 years and over
HC02_VC29,2013 Estimate; SEX AND AGE - 65 years and over
HC03_VC29,2014 - 2013 Statistical Significance; SEX AND AGE - 65 years and over
HC04_VC29,2012 Estimate; SEX AND AGE - 65 years and over
HC05_VC29,2014 - 2012 Statistical Significance; SEX AND AGE - 65 years and over
HC06_VC29,2011 Estimate; SEX AND AGE - 65 years and over
HC07_VC29,2014 - 2011 Statistical Significance; SEX AND AGE - 65 years and over
HC08_VC29,2010 Estimate; SEX AND AGE - 65 years and over
HC09_VC29,2014 - 2010 Statistical Significance; SEX AND AGE - 65 years and over
HC01_VC32,2014 Estimate; SEX AND AGE - 18 years and over
HC02_VC32,2013 Estimate; SEX AND AGE - 18 years and over
HC03_VC32,2014 - 2013 Statistical Significance; SEX AND AGE - 18 years and over
HC04_VC32,2012 Estimate; SEX AND AGE - 18 years and over
HC05_VC32,2014 - 2012 Statistical Significance; SEX AND AGE - 18 years and over
HC06_VC32,2011 Estimate; SEX AND AGE - 18 years and over
HC07_VC32,2014 - 2011 Statistical Significance; SEX AND AGE - 18 years and over
HC08_VC32,2010 Estimate; SEX AND AGE - 18 years and over
HC09_VC32,2014 - 2010 Statistical Significance; SEX AND AGE - 18 years and over
HC01_VC33,2014 Estimate; SEX AND AGE - 18 years and over - Male
HC02_VC33,2013 Estimate; SEX AND AGE - 18 years and over - Male
HC03_VC33,2014 - 2013 Statistical Significance; SEX AND AGE - 18 years and over - Male
HC04_VC33,2012 Estimate; SEX AND AGE - 18 years and over - Male
HC05_VC33,2014 - 2012 Statistical Significance; SEX AND AGE - 18 years and over - Male
HC06_VC33,2011 Estimate; SEX AND AGE - 18 years and over - Male
HC07_VC33,2014 - 2011 Statistical Significance; SEX AND AGE - 18 years and over - Male
HC08_VC33,2010 Estimate; SEX AND AGE - 18 years and over - Male
HC09_VC33,2014 - 2010 Statistical Significance; SEX AND AGE - 18 years and over - Male
HC01_VC34,2014 Estimate; SEX AND AGE - 18 years and over - Female
HC02_VC34,2013 Estimate; SEX AND AGE - 18 years and over - Female
HC03_VC34,2014 - 2013 Statistical Significance; SEX AND AGE - 18 years and over - Female
HC04_VC34,2012 Estimate; SEX AND AGE - 18 years and over - Female
HC05_VC34,2014 - 2012 Statistical Significance; SEX AND AGE - 18 years and over - Female
HC06_VC34,2011 Estimate; SEX AND AGE - 18 years and over - Female
HC07_VC34,2014 - 2011 Statistical Significance; SEX AND AGE - 18 years and over - Female
HC08_VC34,2010 Estimate; SEX AND AGE - 18 years and over - Female
HC09_VC34,2014 - 2010 Statistical Significance; SEX AND AGE - 18 years and over - Female
HC01_VC37,2014 Estimate; SEX AND AGE - 65 years and over
HC02_VC37,2013 Estimate; SEX AND AGE - 65 years and over
HC03_VC37,2014 - 2013 Statistical Significance; SEX AND AGE - 65 years and over
HC04_VC37,2012 Estimate; SEX AND AGE - 65 years and over
HC05_VC37,2014 - 2012 Statistical Significance; SEX AND AGE - 65 years and over
HC06_VC37,2011 Estimate; SEX AND AGE - 65 years and over
HC07_VC37,2014 - 2011 Statistical Significance; SEX AND AGE - 65 years and over
HC08_VC37,2010 Estimate; SEX AND AGE - 65 years and over
HC09_VC37,2014 - 2010 Statistical Significance; SEX AND AGE - 65 years and over
HC01_VC38,2014 Estimate; SEX AND AGE - 65 years and over - Male
HC02_VC38,2013 Estimate; SEX AND AGE - 65 years and over - Male
HC03_VC38,2014 - 2013 Statistical Significance; SEX AND AGE - 65 years and over - Male
HC04_VC38,2012 Estimate; SEX AND AGE - 65 years and over - Male
HC05_VC38,2014 - 2012 Statistical Significance; SEX AND AGE - 65 years and over - Male
HC06_VC38,2011 Estimate; SEX AND AGE - 65 years and over - Male
HC07_VC38,2014 - 2011 Statistical Significance; SEX AND AGE - 65 years and over - Male
HC08_VC38,2010 Estimate; SEX AND AGE - 65 years and over - Male
HC09_VC38,2014 - 2010 Statistical Significance; SEX AND AGE - 65 years and over - Male
HC01_VC39,2014 Estimate; SEX AND AGE - 65 years and over - Female
HC02_VC39,2013 Estimate; SEX AND AGE - 65 years and over - Female
HC03_VC39,2014 - 2013 Statistical Significance; SEX AND AGE - 65 years and over - Female
HC04_VC39,2012 Estimate; SEX AND AGE - 65 years and over - Female
HC05_VC39,2014 - 2012 Statistical Significance; SEX AND AGE - 65 years and over - Female
HC06_VC39,2011 Estimate; SEX AND AGE - 65 years and over - Female
HC07_VC39,2014 - 2011 Statistical Significance; SEX AND AGE - 65 years and over - Female
HC08_VC39,2010 Estimate; SEX AND AGE - 65 years and over - Female
HC09_VC39,2014 - 2010 Statistical Significance; SEX AND AGE - 65 years and over - Female
HC01_VC43,2014 Estimate; RACE - Total population
HC02_VC43,2013 Estimate; RACE - Total population
HC03_VC43,2014 - 2013 Statistical Significance; RACE - Total population
HC04_VC43,2012 Estimate; RACE - Total population
HC05_VC43,2014 - 2012 Statistical Significance; RACE - Total population
HC06_VC43,2011 Estimate; RACE - Total population
HC07_VC43,2014 - 2011 Statistical Significance; RACE - Total population
HC08_VC43,2010 Estimate; RACE - Total population
HC09_VC43,2014 - 2010 Statistical Significance; RACE - Total population
HC01_VC44,2014 Estimate; RACE - Total population - One race
HC02_VC44,2013 Estimate; RACE - Total population - One race
HC03_VC44,2014 - 2013 Statistical Significance; RACE - Total population - One race
HC04_VC44,2012 Estimate; RACE - Total population - One race
HC05_VC44,2014 - 2012 Statistical Significance; RACE - Total population - One race
HC06_VC44,2011 Estimate; RACE - Total population - One race
HC07_VC44,2014 - 2011 Statistical Significance; RACE - Total population - One race
HC08_VC44,2010 Estimate; RACE - Total population - One race
HC09_VC44,2014 - 2010 Statistical Significance; RACE - Total population - One race
HC01_VC45,2014 Estimate; RACE - Total population - Two or more races
HC02_VC45,2013 Estimate; RACE - Total population - Two or more races
HC03_VC45,2014 - 2013 Statistical Significance; RACE - Total population - Two or more races
HC04_VC45,2012 Estimate; RACE - Total population - Two or more races
HC05_VC45,2014 - 2012 Statistical Significance; RACE - Total population - Two or more races
HC06_VC45,2011 Estimate; RACE - Total population - Two or more races
HC07_VC45,2014 - 2011 Statistical Significance; RACE - Total population - Two or more races
HC08_VC45,2010 Estimate; RACE - Total population - Two or more races
HC09_VC45,2014 - 2010 Statistical Significance; RACE - Total population - Two or more races
HC01_VC48,2014 Estimate; RACE - One race
HC02_VC48,2013 Estimate; RACE - One race
HC03_VC48,2014 - 2013 Statistical Significance; RACE - One race
HC04_VC48,2012 Estimate; RACE - One race
HC05_VC48,2014 - 2012 Statistical Significance; RACE - One race
HC06_VC48,2011 Estimate; RACE - One race
HC07_VC48,2014 - 2011 Statistical Significance; RACE - One race
HC08_VC48,2010 Estimate; RACE - One race
HC09_VC48,2014 - 2010 Statistical Significance; RACE - One race
HC01_VC49,2014 Estimate; RACE - One race - White
HC02_VC49,2013 Estimate; RACE - One race - White
HC03_VC49,2014 - 2013 Statistical Significance; RACE - One race - White
HC04_VC49,2012 Estimate; RACE - One race - White
HC05_VC49,2014 - 2012 Statistical Significance; RACE - One race - White
HC06_VC49,2011 Estimate; RACE - One race - White
HC07_VC49,2014 - 2011 Statistical Significance; RACE - One race - White
HC08_VC49,2010 Estimate; RACE - One race - White
HC09_VC49,2014 - 2010 Statistical Significance; RACE - One race - White
HC01_VC50,2014 Estimate; RACE - One race - Black or African American
HC02_VC50,2013 Estimate; RACE - One race - Black or African American
HC03_VC50,2014 - 2013 Statistical Significance; RACE - One race - Black or African American
HC04_VC50,2012 Estimate; RACE - One race - Black or African American
HC05_VC50,2014 - 2012 Statistical Significance; RACE - One race - Black or African American
HC06_VC50,2011 Estimate; RACE - One race - Black or African American
HC07_VC50,2014 - 2011 Statistical Significance; RACE - One race - Black or African American
HC08_VC50,2010 Estimate; RACE - One race - Black or African American
HC09_VC50,2014 - 2010 Statistical Significance; RACE - One race - Black or African American
HC01_VC51,2014 Estimate; RACE - One race - American Indian and Alaska Native
HC02_VC51,2013 Estimate; RACE - One race - American Indian and Alaska Native
HC03_VC51,2014 - 2013 Statistical Significance; RACE - One race - American Indian and Alaska Native
HC04_VC51,2012 Estimate; RACE - One race - American Indian and Alaska Native
HC05_VC51,2014 - 2012 Statistical Significance; RACE - One race - American Indian and Alaska Native
HC06_VC51,2011 Estimate; RACE - One race - American Indian and Alaska Native
HC07_VC51,2014 - 2011 Statistical Significance; RACE - One race - American Indian and Alaska Native
HC08_VC51,2010 Estimate; RACE - One race - American Indian and Alaska Native
HC09_VC51,2014 - 2010 Statistical Significance; RACE - One race - American Indian and Alaska Native
HC01_VC52,2014 Estimate; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC02_VC52,2013 Estimate; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC03_VC52,2014 - 2013 Statistical Significance; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC04_VC52,2012 Estimate; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC05_VC52,2014 - 2012 Statistical Significance; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC06_VC52,2011 Estimate; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC07_VC52,2014 - 2011 Statistical Significance; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC08_VC52,2010 Estimate; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC09_VC52,2014 - 2010 Statistical Significance; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC01_VC53,2014 Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC02_VC53,2013 Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC03_VC53,2014 - 2013 Statistical Significance; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC04_VC53,2012 Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC05_VC53,2014 - 2012 Statistical Significance; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC06_VC53,2011 Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC07_VC53,2014 - 2011 Statistical Significance; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC08_VC53,2010 Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC09_VC53,2014 - 2010 Statistical Significance; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC01_VC54,2014 Estimate; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC02_VC54,2013 Estimate; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC03_VC54,2014 - 2013 Statistical Significance; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC04_VC54,2012 Estimate; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC05_VC54,2014 - 2012 Statistical Significance; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC06_VC54,2011 Estimate; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC07_VC54,2014 - 2011 Statistical Significance; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC08_VC54,2010 Estimate; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC09_VC54,2014 - 2010 Statistical Significance; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC01_VC55,2014 Estimate; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC02_VC55,2013 Estimate; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC03_VC55,2014 - 2013 Statistical Significance; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC04_VC55,2012 Estimate; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC05_VC55,2014 - 2012 Statistical Significance; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC06_VC55,2011 Estimate; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC07_VC55,2014 - 2011 Statistical Significance; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC08_VC55,2010 Estimate; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC09_VC55,2014 - 2010 Statistical Significance; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC01_VC56,2014 Estimate; RACE - One race - Asian
HC02_VC56,2013 Estimate; RACE - One race - Asian
HC03_VC56,2014 - 2013 Statistical Significance; RACE - One race - Asian
HC04_VC56,2012 Estimate; RACE - One race - Asian
HC05_VC56,2014 - 2012 Statistical Significance; RACE - One race - Asian
HC06_VC56,2011 Estimate; RACE - One race - Asian
HC07_VC56,2014 - 2011 Statistical Significance; RACE - One race - Asian
HC08_VC56,2010 Estimate; RACE - One race - Asian
HC09_VC56,2014 - 2010 Statistical Significance; RACE - One race - Asian
HC01_VC57,2014 Estimate; RACE - One race - Asian - Asian Indian
HC02_VC57,2013 Estimate; RACE - One race - Asian - Asian Indian
HC03_VC57,2014 - 2013 Statistical Significance; RACE - One race - Asian - Asian Indian
HC04_VC57,2012 Estimate; RACE - One race - Asian - Asian Indian
HC05_VC57,2014 - 2012 Statistical Significance; RACE - One race - Asian - Asian Indian
HC06_VC57,2011 Estimate; RACE - One race - Asian - Asian Indian
HC07_VC57,2014 - 2011 Statistical Significance; RACE - One race - Asian - Asian Indian
HC08_VC57,2010 Estimate; RACE - One race - Asian - Asian Indian
HC09_VC57,2014 - 2010 Statistical Significance; RACE - One race - Asian - Asian Indian
HC01_VC58,2014 Estimate; RACE - One race - Asian - Chinese
HC02_VC58,2013 Estimate; RACE - One race - Asian - Chinese
HC03_VC58,2014 - 2013 Statistical Significance; RACE - One race - Asian - Chinese
HC04_VC58,2012 Estimate; RACE - One race - Asian - Chinese
HC05_VC58,2014 - 2012 Statistical Significance; RACE - One race - Asian - Chinese
HC06_VC58,2011 Estimate; RACE - One race - Asian - Chinese
HC07_VC58,2014 - 2011 Statistical Significance; RACE - One race - Asian - Chinese
HC08_VC58,2010 Estimate; RACE - One race - Asian - Chinese
HC09_VC58,2014 - 2010 Statistical Significance; RACE - One race - Asian - Chinese
HC01_VC59,2014 Estimate; RACE - One race - Asian - Filipino
HC02_VC59,2013 Estimate; RACE - One race - Asian - Filipino
HC03_VC59,2014 - 2013 Statistical Significance; RACE - One race - Asian - Filipino
HC04_VC59,2012 Estimate; RACE - One race - Asian - Filipino
HC05_VC59,2014 - 2012 Statistical Significance; RACE - One race - Asian - Filipino
HC06_VC59,2011 Estimate; RACE - One race - Asian - Filipino
HC07_VC59,2014 - 2011 Statistical Significance; RACE - One race - Asian - Filipino
HC08_VC59,2010 Estimate; RACE - One race - Asian - Filipino
HC09_VC59,2014 - 2010 Statistical Significance; RACE - One race - Asian - Filipino
